sch_code__,School_Nam,GTA06,DAUID,Enrolment
E0550,RAY LAWSON PUBLIC SCHOOL,3324,35211878,527
3506,DR ROBERT THORNTON PUBLIC SCHOOL,1137,35180227,305
3007,DR ROBERTA BONDAR PUBLIC SCHOOL,1069,35180373,312
3216,DR S J PHILLIPS PUBLIC SCHOOL,1197,35180112,722
1286,DRIFTWOOD PUBLIC SCHOOL,390,35202048,444
S652,DUFFERIN ELEMENTARY,8901,35290047,458
1261,CHARLES H BEST MIDDLE SCHOOL,428,35202564,299
1262,CHARLES H BEST MIDDLE SCHOOL,,35202564,299
2112,DUKE OF CONNAUGHT PUBLIC SCHOOL,266,35203212,823
7132,DUNDAS CENTRAL PUBLIC SCHOOL,5205,35250828,407
2113,DUNDAS JUNIOR PUBLIC SCHOOL,271,35204576,279
1288,DUNLACE PUBLIC SCHOOL,230,35200387,449
8866,DUNSFORD DISTRICT ELEMENTARY SCHOOL,8705,35160188,285
E0243,PALERMO PUBLIC SCHOOL,4045,35240687,789
4130,E T CROWLE PUBLIC SCHOOL,2442,35190733,287
3507,EARL A FAIRMAN PUBLIC SCHOOL,1131,35180287,218
2119,EAST ALTERNATIVE SCHOOL OF TORONTO,273,35200704,65
3221,ECOLE ELEMENTAIRE ANTONINE MAILLET,1190,35180211,193
5634,ECOLE INTERMEDIAIRE JEUNES SANS FRONTIERES (ADD CHANGED),3323,35211872,195
S914,ECOLE ELEMENTAIRE LHARMONIE,7001,35300074,316
8248,E I MCCULLEY PUBLIC SCHOOL,6042,35260521,212
6308,E J JAMES MIDDLE SCHOOL,4018,35240137,540
S934,E W FARR MEMORIAL PUBLIC SCHOOL,6032,35260226,137
E0188,SHAW PUBLIC SCHOOL,3386,35212162,626
2114,EARL BEATTY JUNIOR SENIOR PUBLIC SCHOOL,258,35204486,451
2115,EARL GREY SENIOR PUBLIC SCHOOL,273,35200711,460
439,ST JOSAPHAT CATHEDRAL CATHOLIC SCHOOL (I CHANGED),295,35201579,0
2116,EARL HAIG JUNIOR PUBLIC SCHOOL,258,35200588,495
7239,EARL KITCHENER JUNIOR PUBLIC SCHOOL,5180,35250507,559
5215,EARNSCLIFFE SENIOR SCHOOL,3511,35210124,820
A069,IRMA COULSON PUBLIC SCHOOL,,35240883,1015
8762,MOONSTONE ELEMENTARY SCHOOL,8555,35430628,125
8729,EAST ORO PUBLIC SCHOOL,8555,35431162,224
5132,EASTBOURNE DRIVE PUBLIC SCHOOL,3511,35211558,431
7503,EASTDALE PUBLIC SCHOOL,5113,35250283,197
6309,EASTVIEW PUBLIC SCHOOL,4005,35240254,456
663,MOUNT ROYAL PUBLIC SCHOOL,3442,35212091,874
2504,EASTVIEW JUNIOR PUBLIC SCHOOL,557,35203757,388
1146,EATONVILLE JUNIOR PUBLIC SCHOOL,326,35204070,240
S930,NOUVEL HORIZON ELEMENTAIRE ECOLE,6257,35260241,152
8108,ECOLE LAMARSH PUBLIQUE,6042,35260053,149
A046,"ECOLE CONFEDERATION (RIGHT ADD IS 670 TANGUAY AVE, WELLAND) (SEC=907553)",8901,35290032,96
117,ECOLE ELEMENTAIRE JEUNESSE HORIZON,,35210733,330
118,ECOLE HORIZON JEUNESSE,3614,35210733,330
6117,ECOLE RENAISSANCE,4057,35240807,223
C162,ECOLE ELEMENTAIRE CARREFOUR DES JEUNES,,35211553,476
S921,LODYSSEE ELEMENTAIRE ECOLE,8001,35230062,132
4344,ECOLE ELEMENTAIRE ACADEMIE DE LA MORAINE (ADD CHANGED),2554,35191051,181
2443,ECOLE ELEMENTAIRE PIERRE ELLIOTT TRUDEAU,92,35201430,360
213,ECOLE ELEMENTAIRE PAVILLON DE LA JEUNESSE,5114,35250354,199
115,EAGLE RIDGE PUBLIC SCHOOL,1074,35181038,524
119,EDENBROOK HILL PUBLIC SCHOOL,3376,35211913,693
1566,EDGEWOOD PUBLIC SCHOOL,499,35203400,228
8253,EDITH CAVELL PUBLIC SCHOOL,6042,35260379,207
120,EDMISON HEIGHTS PUBLIC SCHOOL,8851,35150226,513
121,EDWARD JOHNSON PUBLIC SCHOOL,8001,35230063,362
5455,EDENROSE PUBLIC SCHOOL,3685,35211486,771
5456,EDENWOOD SENIOR SCHOOL,3638,35210607,504
2129,EGLINTON PUBLIC SCHOOL,210,35202674,533
9447,THORNDALE PUBLIC SCHOOL,3518,35212151,663
6255,E W FOSTER SCHOOL,4124,35240791,393
3280,WOODCREST PUBLIC SCHOOL,1192,35180201,557
8869,LADY MACKENZIE PUBLIC SCHOOL,8701,35160106,308
3273,T R MCEWEN PUBLIC SCHOOL & DAVID BOUCHARD PUBLIC SCHOOL,1215,35180635,576
A137,DAVID BOUCHARD PUBLIC SCHOOL,,35180635,576
S856,ELGIN STREET PUBLIC SCHOOL,7237,35300896,423
1295,ELIA MIDDLE SCHOOL,396,35202004,389
E0629,WHITBY SHORES PUBLIC SCHOOL,1153,35181021,674
7311,REDHIL BAGSHAW (ELIZABETH BAGSHAW) SCHOOL,5239,35251026,367
1567,ELIZABETH SIMCOE JUNIOR PUBLIC SCHOOL,554,35203317,255
S885,ELIZABETH ZIEGLER PUBLIC SCHOOL,7001,35300133,456
2707,ELKHORN PUBLIC SCHOOL,463,35200366,403
5457,ELLENGALE PUBLIC SCHOOL,3814,35212112,367
1568,ELLESMERE-STATTON PUBLIC SCHOOL,501,35203554,611
5021,ELLWOOD MEMORIAL PUBLIC SCHOOL,3192,35211646,444
E0335,WALTER GRETZKY ELEMENTARY SCHOOL,8901,35290325,531
1425,ELMBANK JUNIOR MIDDLE SCHOOL,373,35201854,330
5458,ELMCREST PUBLIC SCHOOL,3614,35210434,221
1148,ELMLEA JUNIOR SCHOOL,364,35201821,455
8470,ELORA PUBLIC SCHOOL,8301,35230300,413
56,BROOKLIN VILLAGE PUBLIC SCHOOL,1106,35181154,724
E0232,ETHEL GARDINER PUBLIC SCHOOL,4160,35240804,620
S882,EMPIRE PUBLIC SCHOOL,7001,35300292,572
8517,EMMA KING ELEMENTARY SCHOOL,8501,35430657,354
8493,ERNEST CUMBERLAND ELEMENTARY SCHOOL,8551,35430840,647
3121,ENNISKILLEN PUBLIC SCHOOL,1226,35181013,191
E0108,HARRY BOWES PUBLIC SCHOOL,2712,35190970,727
9082,ERAMOSA PUBLIC SCHOOL,8301,35230333,135
8421,BRISBANE PUBLIC SCHOOL,8301,35230347,400
9084,ROSS R MACKAY PUBLIC SCHOOL,8301,35230338,119
8423,ERIN PUBLIC SCHOOL,8301,35230343,353
736,MORAINE HILLS PUBLIC SCHOOL,2218,35191340,662
5459,ERIN MILLS SENIOR PUBLIC SCHOOL,3868,35211437,510
1297,ERNEST PUBLIC SCHOOL,480,35200306,138
5505,JANET I MCDOUGALD PUBLIC SCHOOL,3648,35210362,464
5135,ESKER LAKE PUBLIC SCHOOL,3378,35211870,327
8711,COOKSTOWN CENTRAL SCHOOL,8559,35430746,652
A242,TRIBUNE PUBLIC SCHOOL (DOLSON PUBLIC SCHOOL),,35212173,0
8497,ANGUS MORRISON PUBLIC SCHOOL,8551,35430721,616
C040,ALLISTON UNION PUBLIC SCHOOL,8551,35430834,773
2131,ETIENNE BRULE JUNIOR SCHOOL,304,35203130,168
2134,F H MILLER JUNIOR PUBLIC SCHOOL,162,35204553,135
2136,FAIRBANK MIDDLE SCHOOL,176,35202242,224
1019,FAIRGLEN JUNIOR PUBLIC SCHOOL,587,35200196,310
1570,FAIRMOUNT JUNIOR PUBLIC SCHOOL,546,35203786,430
3308,FAIRPORT BEACH PUBLIC SCHOOL,1049,35180472,222
5461,FAIRVIEW PUBLIC SCHOOL,3672,35212009,497
S768,FAIRVIEW ELEMENTARY SCHOOL,8901,35290139,596
5462,FAIRWIND SENIOR PUBLIC SCHOOL,3689,35211039,651
4063,FAIRWOOD PUBLIC SCHOOL,2861,35190052,416
6312,FALGARWOOD PUBLIC SCHOOL,4028,35240129,412
5136,FALLINGDALE PUBLIC SCHOOL,3511,35210124,239
5463,FALLINGBROOK MIDDLE SCHOOL,3688,35210682,615
3508,FALLINGBROOK MIDDLE S PUBLIC SCHOOL,1124,35180340,411
1298,FAYWOOD ARTS BASED CURRICULUM (ABC) SCHOOL,424,35202156,391
8864,FENELON TOWNSHIP PUBLIC SCHOOL,8705,35160201,152
2605,ECOLE ELEMENTAIRE FELIX LECLERC,352,35201788,282
5140,FERNFOREST PUBLIC SCHOOL,3418,35211532,902
150,FLORENCE MEARES PUBLIC SCHOOL,4080,35240660,610
1299,FENSIDE PUBLIC SCHOOL,233,35200408,308
2137,FERN AVENUE PUBLIC SCHOOL,113,35201350,636
8254,FERNDALE PUBLIC SCHOOL,6042,35260470,383
878,EAGLE PLAINS JUNIOR PUBLIC SCHOOL,3386,35212161,637
8518,FERNDALE WOODS ELEMENTARY SCHOOL,8501,35430673,601
147,FESSENDEN SCHOOL,5059,35250149,498
1300,FINCH PUBLIC SCHOOL,457,35202441,349
1301,FIRGROVE PUBLIC SCHOOL,401,35202037,432
A151,SENECA TRAIL PUBLIC SCHOOL,,35181200,706
A238,SENECA TRAIL PUBLIC SCHOOL,,35181200,706
1302,FISHERVILLE ELEMENTARY SCHOOL,432,35202589,145
1303,FISHERVILLE SECONDARY SCHOOL,,35202589,145
8400,FITCH STREET PUBLIC SCHOOL,6257,35260743,298
7247,FLAMBOROUGH CENTRE SCHOOL,5223,35250876,250
1572,FLEMING PUBLIC SCHOOL,622,35204183,264
55,BRISDALE PUBLIC SCHOOL,3434,35211903,856
9515,FLEMINGTON SCHOOL,182,35202137,251
5141,FLETCHERS CREEK PUBLIC SCHOOL,3325,35211310,519
5466,FLORADALE PUBLIC SCHOOL,3656,35210830,722
136,FLORADALE PAROCHIAL SCHOOL,7001,35300742,237
8462,FRED A HAMILTON PUBLIC SCHOOL,8001,35230187,302
S910,ECOLE ACADEMIE LA PINEDE,8551,35430732,93
5142,FOLKSTONE PUBLIC SCHOOL,3358,35210099,408
8055,GLYNN A GREEN PUBLIC SCHOOL,6032,35260271,397
E0143,ROMEO DALLAIRE PUBLIC SCHOOL,1063,35181077,539
5467,FOREST AVENUE PUBLIC SCHOOL,3642,35210373,198
5468,FOREST GLEN PUBLIC SCHOOL,3675,35210984,534
S796,FOREST GLEN PUBLIC SCHOOL,7001,35300792,486
S740,FOREST HILL PUBLIC SCHOOL,7001,35300196,526
8735,FOREST HILL PUBLIC SCHOOL,8555,35430965,628
1305,FOREST MANOR PUBLIC SCHOOL,483,35200272,699
446,FOREST RUN ELEMENTARY SCHOOL,2110,35191037,510
A021,FRED VARLEY PUBLIC SCHOOL,2434,35191184,448
E0166,ERIN CENTRE MIDDLE SCHOOL,3811,35212062,803
2144,FRANKLAND COMMUNITY SCHOOL,277,35203815,357
S779,FRANKLIN PUBLIC SCHOOL,7001,35300444,603
7248,FRANKLIN JUNIOR PUBLIC SCHOOL,5110,35250626,447
4132,FRANKLIN STREET PUBLIC SCHOOL,2443,35190730,438
E0391,PIERRE BERTON PUBLIC SCHOOL,2054,35191329,552
3309,FRENCHMANS BAY PUBLIC SCHOOL,1049,35180467,558
E0231,EMILY CARR ELEMENTARY SCHOOL,4186,35240848,834
6120,FRONTENAC PUBLIC SCHOOL,4076,35240493,463
8221,GAINSBOROUGH CENTRAL PUBLIC SCHOOL,6032,35260779,209
2505,GALLOWAY ROAD PUBLIC SCHOOL,558,35204291,162
5721,EAST GARAFRAXA CENTRAL PUBLIC SCHOOL,8411,35220138,184
8484,GATEWAY DRIVE PUBLIC SCHOOL,8001,35230410,258
8431,JOHN BLACK PUBLIC SCHOOL,8301,35230321,360
C411,SIR ISAAC BROCK PUBLIC SCHOOL,3337,35212149,867
3310,GANDATSETIAGON PUBLIC SCHOOL,1037,35180482,466
8063,GARRISON ROAD PUBLIC SCHOOL,6042,35260815,479
5469,GARTHWOOD PARK PUBLIC SCHOOL,3812,35210494,392
1306,GATEWAY PUBLIC SCHOOL,223,35204058,827
1574,GENERAL BROCK PUBLIC SCHOOL,534,35203482,418
1575,GENERAL CRERAR PUBLIC SCHOOL,509,35203541,341
E0351,CARRVILLE MILLS PUBLIC SCHOOL,2129,35191311,799
2146,GENERAL MERCER JUNIOR PUBLIC SCHOOL,148,35201197,215
8064,GENERAL VANIER PUBLIC SCHOOL,6042,35260713,130
1307,GEORGE ANDERSON PUBLIC SCHOOL,153,35204458,218
1576,GEORGE B LITTLE JUNIOR PUBLIC SCHOOL,514,35203650,419
6204,GEORGE KENNEDY PUBLIC SCHOOL,4159,35240026,504
7249,GEORGE L ARMSTRONG PUBLIC SCHOOL,5143,35250372,480
A174,NELSON MANDELA PUBLIC SCHOOL,,35211991,711
1577,GEORGE P MACKIE JUNIOR PUBLIC SCHOOL,551,35204343,139
1578,GEORGE PECK PUBLIC SCHOOL,507,35200437,248
7250,COOTES PARADIS PUBLIC SCHOOL ( I CHANGED),5203,35250848,574
2149,GEORGE R GAULD ELEMENTARY SCHOOL,288,35204678,162
2150,GEORGE SYME COMMUNITY SCHOOL,129,35201253,384
2151,GEORGE WEBSTER ELEMENTARY SCHOOL,249,35200498,709
4511,GERMAN MILLS PUBLIC SCHOOL,2366,35190412,295
4422,GLAD PARK PUBLIC SCHOOL,2708,35191359,779
3511,GLEN DHU PUBLIC SCHOOL,1124,35180296,466
4041,GLEN SHIELDS PUBLIC SCHOOL,2120,35190264,453
2152,GIVINS & SHAW JUNIOR PUBLIC SCHOOL,98,35201440,335
A149,GIVINS & SHAW JUNIOR PUBLIC SCHOOL,,35201440,335
6313,GLADYS SPEERS PUBLIC SCHOOL,4004,35240245,374
1579,GLAMORGAN JUNIOR PUBLIC SCHOOL,487,35204799,589
2153,GLEDHILL JUNIOR PUBLIC SCHOOL,250,35200603,508
2154,GLEN AMES SENIOR PUBLIC SCHOOL,253,35200660,472
7253,GLEN BRAE MIDDLE SCHOOL,5111,35250222,329
4215,GLEN CEDAR PUBLIC SCHOOL,2622,35190950,216
7254,GLEN ECHO JUNIOR PUBLIC SCHOOL,5111,35250222,292
5472,GLENHAVEN SENIOR PUBLIC SCHOOL,3675,35211005,469
1310,GLEN PARK PUBLIC SCHOOL,183,35202276,478
1580,GLEN RAVINE PUBLIC SCHOOL,523,35204127,307
S852,GLENCAIRN PUBLIC SCHOOL,7001,35300185,345
8255,GLEN RIDGE PUBLIC SCHOOL,6042,35260457,58
881,GREENSBOROUGH PUBLIC SCHOOL,2441,35191275,538
3227,GLEN STREET PUBLIC SCHOOL,1219,35180799,395
8401,GLENDALE PUBLIC SCHOOL,6257,35260159,171
5144,GLENDALE PUBLIC SCHOOL,3487,35210174,337
3311,GLENGROVE PUBLIC SCHOOL,1039,35180445,324
S819,GLEN MORRIS ELEMENTARY,8901,35290307,170
E0081,HILLCREST ELEMENTARY SCHOOL,5148,35250324,581
2155,GLENVIEW SENIOR PUBLIC SCHOOL,197,35202383,745
6123,GLENVIEW PUBLIC SCHOOL,4051,35240395,319
6221,GLEN WILLIAMS PUBLIC SCHOOL,4195,35240744,222
5145,GOLDCREST PUBLIC SCHOOL,3364,35211255,355
1581,GOLF ROAD JUNIOR PUBLIC SCHOOL,513,35203352,321
8817,GOODFELLOW PUBLIC SCHOOL,8559,35431308,688
3228,GORDON B ATTERSLEY PRIMARY SCHOOL,1188,35180127,382
8402,GORDON PUBLIC SCHOOL,6257,35260167,525
7257,GORDON PRICE ELEMENTARY SCHOOL,5098,35250130,409
1311,GOSFORD PUBLIC SCHOOL,389,35202056,255
S223,HYLAND HEIGHTS ELEMENTARY SCHOOL,8411,35220069,377
E0177,JOHN WILLIAM BOICH PUBLIC SCHOOL,4079,35240756,817
E0184,JOHN W BOICH PUBLIC SCHOOL,,35240756,817
1312,GRACEDALE PUBLIC SCHOOL,385,35201886,660
8257,GRACEFIELD PUBLIC SCHOOL,6042,35260412,160
1313,GRACEFIELD PUBLIC SCHOOL,137,35204399,221
A148,HYDE PARK PUBLIC SCHOOL,,35431355,559
S835,GRAHAM BELL - VICTORIA PUBLIC SCHOOL,8901,35290148,151
8073,GRAND AVENUE PUBLIC SCHOOL,6001,35260309,210
S197,GRAND VALLEY & DISTRICT PUBLIC SCHOOL,,35220136,240
6,GRAND VIEW PUBLIC SCHOOL,7237,35300498,315
S855,GRANDVIEW ELEMENTARY SCHOOL,8901,35290038,203
8258,GRAPEVIEW PUBLIC SCHOOL,6042,35260402,411
5221,GREAT LAKES PUBLIC SCHOOL,3417,35211765,797
7504,GREEN ACRES SCHOOL,5099,35250258,283
5474,GREEN GLADE SENIOR PUBLIC SCHOOL,3640,35212107,291
5147,GREENBRIAR SENIOR PUBLIC SCHOOL,3364,35211121,504
S766,GREENBRIER ELEMENTARY,8901,35290024,203
8113,GREENDALE PUBLIC SCHOOL,6042,35260620,296
1428,GREENHOLME ELEMENTARY SCHOOL,373,35201854,341
1314,GREENLAND PUBLIC SCHOOL,241,35204855,155
5148,GRENOBLE PUBLIC SCHOOL,3364,35211122,322
1315,GRENOBLE PUBLIC SCHOOL,223,35202736,859
3312,HIGHBUSH PUBLIC SCHOOL,1036,35180490,492
1020,GREY OWL JUNIOR PUBLIC SCHOOL,620,35204139,256
1582,GUILDWOOD JUNIOR PUBLIC SCHOOL,555,35203322,119
1316,GULFSTREAM PUBLIC SCHOOL,402,35201904,533
8801,GUTHRIE PUBLIC SCHOOL,8555,35431154,462
7601,GUY B BROWN PUBLIC SCHOOL,5232,35250886,701
4051,HOLLAND LANDING PUBLIC SCHOOL,2760,35190085,217
4053,PARK AVENUE PUBLIC SCHOOL,2755,35190096,372
4220,MAPLE LEAF PUBLIC SCHOOL,2611,35190905,332
4442,SHARON PUBLIC SCHOOL,2763,35190084,268
4261,QUEENSVILLE PUBLIC SCHOOL,2770,35190067,74
E0293,CROSSROADS PUBLIC SCHOOL,6042,35260016,507
4061,DEER PARK PUBLIC SCHOOL,2858,35190044,190
1583,H A HALBERT JUNIOR PUBLIC SCHOOL,548,35203787,246
5477,HAZEL MCCALLION SENIOR PUBLIC SCHOOL,3604,35210672,864
4316,H G BERNARD PUBLIC SCHOOL,2237,35190513,425
2163,HAWTHORNE II BILINGUAL ALTERNATIVE SCHOOL,95,35200987,206
5125,CONESTOGA PUBLIC SCHOOL,3467,35210028,465
716,RED WILLOW PUBLIC SCHOOL,3448,35212132,713
E0114,MICHAELLE JEAN PUBLIC SCHOOL,2258,35191038,506
3161,HAMPTON JUNIOR PUBLIC SCHOOL,1231,35180977,174
5149,HANOVER PUBLIC SCHOOL,3363,35210083,294
3060,HAROLD LONGWORTH PUBLIC SCHOOL,1259,35180698,492
3245,HARMONY HEIGHTS PUBLIC SCHOOL,1200,35180122,346
8782,HARRIETT TODD PUBLIC SCHOOL,8681,35431175,458
6214,HARRISON PUBLIC SCHOOL,4162,35240837,219
1317,HARRISON PUBLIC SCHOOL,230,35200386,207
E0131,DAVID SUZUKI PUBLIC SCHOOL,2451,35191295,802
2162,HARWOOD JUNIOR PUBLIC SCHOOL,144,35201383,157
5475,HAVENWOOD PUBLIC SCHOOL,3670,35211421,505
5476,HAWTHORN PUBLIC SCHOOL,3655,35210718,230
A005,ANNE J MACARTHUR PUBLIC SCHOOL,4105,35240929,954
1585,HEATHER HEIGHTS JUNIOR PUBLIC SCHOOL,495,35203361,170
5152,HELEN WILSON PUBLIC SCHOOL,3368,35211264,224
7266,HELEN DETWILER JUNIOR ELEMENTARY SCHOOL,5051,35250651,529
4512,HENDERSON AVENUE PUBLIC SCHOOL,2351,35190374,392
1586,HENRY HUDSON SENIOR PUBLIC SCHOOL,495,35203361,306
1021,HENRY KELSEY SENIOR PUBLIC SCHOOL,602,35200087,321
6315,HERITAGE GLEN PUBLIC SCHOOL,4042,35240276,729
1587,HERITAGE PARK PUBLIC SCHOOL,622,35203943,323
5341,HERB CAMPBELL PUBLIC SCHOOL,3151,35211251,742
5150,HAROLD F LOUGHIN PUBLIC SCHOOL,3496,35210153,294
E0092,HERBERT H CARNEGIE PUBLIC SCHOOL,,35191288,826
E0136,HERBERT H CARNEGIE PUBLIC SCHOOL,2135,35191288,826
7267,HESS STREET JUNIOR PUBLIC SCHOOL,5201,35250416,314
8114,HEXIMER AVENUE PUBLIC SCHOOL,6042,35260066,166
C467,TWENTY VALLEY PUBLIC SCHOOL,6001,35260282,476
5153,HICKORY WOOD PUBLIC SCHOOL,3324,35211322,581
104,DERRY WEST VILLAGE PUBLIC SCHOOL,3620,35211718,560
27,HIGHLAND HEIGHTS JUNIOR HIGH SCHOOL,596,35200207,148
2166,HIGH PARK ALTERNATIVE JUNIOR SCHOOL,125,35201293,137
2507,HIGHCASTLE PUBLIC SCHOOL,563,35203634,298
1430,HIGHFIELD JUNIOR SCHOOL,376,35203064,699
S666,HIGHLAND PUBLIC SCHOOL,7237,35300688,450
2508,HIGHLAND CREEK PUBLIC SCHOOL,567,35203700,140
8938,HIGHLAND HEIGHTS PUBLIC SCHOOL,8851,35150059,156
1319,HIGHLAND SECONDARY SCHOOL,471,35204172,206
4134,HIGHGATE PUBLIC SCHOOL,2398,35190640,445
4010,HIGHVIEW PUBLIC SCHOOL,2552,35190155,374
7327,HIGHVIEW PUBLIC SCHOOL,5122,35250355,471
1320,HIGHVIEW PUBLIC SCHOOL,409,35201959,186
2167,HILLCREST COMMUNITY SCHOOL,186,35201081,367
8520,HILLCREST PUBLIC SCHOOL,8501,35431053,619
A061,RICK HANSEN PUBLIC SCHOOL,2569,35191308,471
S759,HILLCREST PUBLIC SCHOOL,7237,35300854,321
5479,HILLCREST PUBLIC SCHOOL,3645,35210406,500
5154,HILLDALE PUBLIC SCHOOL,3363,35210082,222
1321,HILLMOUNT PUBLIC SCHOOL,474,35202466,306
3247,HILLSDALE PUBLIC SCHOOL,1200,35180107,149
5480,HILLSIDE SENIOR PUBLIC SCHOOL,3614,35210427,156
A177,HILLSIDE SENIOR PUBLIC SCHOOL (UPDATED),,35210426,156
2608,HILLTOP MIDDLE SCHOOL,343,35202998,485
2169,HODGSON SENIOR PUBLIC SCHOOL,216,35202918,314
7272,HOLBROOK JUNIOR PUBLIC SCHOOL,5140,35250111,190
1151,HOLLYCREST MIDDLE SCHOOL,335,35201762,363
1322,HOLLYWOOD PUBLIC SCHOOL,456,35200363,359
8549,HOLLY MEADOWS PUBLIC SCHOOL,8501,35430694,663
S056,HOMESTEAD JUNIOR HIGH SCHOOL,3369,35211918,883
5483,HOMELANDS SENIOR PUBLIC SCHOOL,3650,35210438,334
C228,HILLSIDE SENIOR PUBLIC SCHOOL,,35210438,334
A020,JEANNE SAUVE FRENCH IMMERSION PUBLIC SCHOOL,6042,35260502,560
C233,HORIZON ALTERNATIVE SENIOR SCHOOL,96,35200920,71
2178,HOWARD JUNIOR PUBLIC SCHOOL,115,35201316,566
S670,HOWARD ROBERTSON PUBLIC SCHOOL,7001,35300960,431
A091,CHURCHVILLE PUBLIC SCHOOL,3354,35212167,911
1153,HUMBER VALLEY VILLAGE JUNIOR & MIDDLE SCHOOL,340,35201700,371
2180,HUMBERCREST PUBLIC SCHOOL,127,35204640,725
624,ESL - HUMBER SUMMIT MIDDLE SCHOOL,,35201874,459
1323,HUMBER SUMMIT MIDDLE SCHOOL,385,35201874,459
657,ELDER MILLS PUBLIC SCHOOL,2022,35191282,477
2182,HUMEWOOD COMMUNITY SCHOOL,173,35204538,541
E0173,RICKSON RIDGE PUBLIC SCHOOL,8001,35230275,442
1154,HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY,370,35204474,911
1590,HUNTERS GLEN JUNIOR PUBLIC SCHOOL,522,35203411,373
531,HUNTINGTON PARK SCHOOL,5089,35250566,415
5484,HUNTINGTON RIDGE PUBLIC SCHOOL,3686,35210279,486
9293,HURON PARK PUBLIC SCHOOL,8555,35430588,345
2183,HURON STREET PUBLIC SCHOOL,71,35201054,416
8726,HURONIA CENTENNIAL ELEMENTARY SCHOOL,8555,35430924,523
5331,HUTTONVILLE PUBLIC SCHOOL,3479,35211812,383
2185,INDIAN ROAD CRESCENT JUNIOR PUBLIC SCHOOL,117,35201369,319
1023,INGLEWOOD HEIGHTS JUNIOR PUBLIC SCHOOL,583,35200233,246
201,INNISFIL CENTRAL PUBLIC SCHOOL,8559,35430980,168
5412,ASHGROVE PUBLIC SCHOOL (RENAMED AS ELM DRIVE ELEMENTARY),3635,35210486,0
8816,ALCONA GLEN ELEMENTARY SCHOOL,8559,35431304,886
1595,IONVIEW PUBLIC SCHOOL,524,35203534,368
1024,IROQUOIS JUNIOR PUBLIC SCHOOL,606,35200080,268
E0245,WILLIAMSBURG PUBLIC SCHOOL,7001,35300922,750
2195,ISLAND PUBLIC & NATURAL SCIENCE SCHOOL,81,35203174,225
1203,ISLINGTON JUNIOR & MIDDLE SCHOOL,313,35204101,486
1025,J B TYRRELL SENIOR PUBLIC SCHOOL,587,35200196,427
S880,J F CARMICHAEL PUBLIC SCHOOL,7001,35300142,478
1596,J G WORKMAN PUBLIC SCHOOL,535,35203502,199
4218,J L R BELL PUBLIC SCHOOL,2612,35190109,88
6260,J M DENYES PUBLIC SCHOOL,4125,35240068,207
3531,JACK MINER ELEMENTARY PUBLIC SCHOOL,1122,35181141,532
2198,JACKMAN AVENUE JUNIOR PUBLIC SCHOOL,280,35203817,632
2509,JACK MINER SENIOR PUBLIC SCHOOL,555,35203973,186
8002,JACOB BEAM PUBLIC SCHOOL,6001,35260748,230
7506,JANET LEE PUBLIC SCHOOL,5044,35250191,411
S845,JAMES HILLIER ELEMENTARY,8901,35290034,302
7279,JAMES MACDONALD PUBLIC SCHOOL,5084,35250662,292
8430,JAMES MCQUEEN PUBLIC SCHOOL,8301,35230319,302
495,JULLIARD PUBLIC SCHOOL,2080,35191296,613
8115,JAMES MORDEN PUBLIC SCHOOL,6042,35260108,306
431,ELLEN FAIRCLOUGH PUBLIC SCHOOL,2428,35190698,422
A187,ESL-ELLEN FAIRCLOUGH PUBLIC SCHOOL,,35190698,422
4135,JAMES ROBINSON PUBLIC SCHOOL,2432,35190625,304
2200,JAMES S BELL JUNIOR MIDDLE SCHOOL,294,35201575,459
8941,JAMES STRATH PUBLIC SCHOOL,8851,35150148,679
1249,BROOKVIEW MIDDLE SCHOOL,390,35202050,433
1292,ECOLE ELEMENTAIRE JEANNE LAJOIE,244,35200452,473
8453,JEAN LITTLE PUBLIC SCHOOL,8001,35230188,384
8429,J DOUGLAS HOGARTH PUBLIC SCHOOL,8301,35230315,573
5157,JEFFERSON PUBLIC SCHOOL,3505,35211131,311
4062,JERSEY PUBLIC SCHOOL,2861,35190052,335
2203,JESSE KETCHUM JUNIOR SENIOR SCHOOL,45,35202818,430
1599,JOHN A LESLIE PUBLIC SCHOOL,545,35203270,537
4514,JOHNSVIEW VILLAGE PUBLIC SCHOOL,2363,35190382,219
1026,JOHN BUCHAN SENIOR PUBLIC SCHOOL,594,35204085,213
1431,JOHN D PARKER JUNIOR SCHOOL,382,35203031,570
1155,JOHN ENGLISH JUNIOR & MIDDLE SCHOOL,287,35201548,912
3513,JOHN DRYDEN PUBLIC SCHOOL,1125,35180302,525
2205,JOHN FISHER JUNIOR PUBLIC SCHOOL,211,35204380,504
1204,JOHN G ALTHOUSE JUNIOR & MIDDLE SCHOOL,345,35201711,512
S804,JOHN MAHOOD PUBLIC SCHOOL,7001,35300009,418
8116,JOHN MARSHALL PUBLIC SCHOOL,6042,35260035,356
1601,JOHN MCCRAE SENIOR PUBLIC SCHOOL,518,35204178,626
8448,JOHN MCCRAE PUBLIC SCHOOL,8001,35230141,572
2197,JR WILCOX COMMUNITY SCHOOL,175,35202228,291
2206,JOHN ROSS ROBERTSON PUBLIC SCHOOL,197,35202342,583
6128,JOHN T TUCK PUBLIC SCHOOL,4066,35240473,731
2207,JOHN WANLESS JUNIOR PUBLIC SCHOOL,196,35202369,742
